locality,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon
"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)",0,">10,000 BP",7,20,0.192597895860672,34.807812000000006,-2.4108890000000005
"Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)",0,">10,000 BP",4,6,0.19383583962917328,-19.54,-43.94
"Dolní Věstonice-2 (South Moravian Region, Břeclav District)",0,">10,000 BP",5,9,0.21212883293628693,48.877778,16.652222
"Padina (Bor District, Majdanpek Municipality, Boljetin)",0,">10,000 BP",7,21,0.22646456956863403,44.595879000000004,22.010568000000003
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",0,">10,000 BP",9,21,0.22832848131656647,45.97555555555556,125.86666666666666
"Minino 1 (Vologda Oblast, Vologda District, Minino Village)",0,">10,000 BP",5,10,0.2289837896823883,59.42,39.3
"Sunghir (Vladimir Oblast, Vlaidmir municipality)",0,">10,000 BP",4,6,0.23456844687461853,56.1761111,40.5025
"Boncuklu (Konya, Karatay)",0,">10,000 BP",5,5,0.24257412552833557,37.75191,32.864901
"Goyet Cave (Wallonia region, Namur province, Gesves municipality, Troisième caverne)",0,">10,000 BP",10,26,0.25627589225769043,50.446000000000005,5.008000000000001
"Bacho-Kiro Cave (Lovech province, Ugarchin municipality)",0,">10,000 BP",6,6,0.2595324218273163,42.948,24.4302
San Nicolas Island (California),1,"10,000-5,000 BP",4,5,0.16988155245780945,33.26428,-119.539
"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",1,"10,000-5,000 BP",7,13,0.188509002327919,34.004782,-120.18487000000002
"Odake Shell Midden (Honshu, Toyama, Kureha Hills)",1,"10,000-5,000 BP",4,6,0.19163861870765686,36.72122,137.16677
"Hoedic (Bretagne, Morbihan)",1,"10,000-5,000 BP",6,10,0.200261652469635,47.339,-2.879
"CA-SBA-7 (California, Carpinteria, Mishopshnow)",1,"10,000-5,000 BP",6,15,0.20066986978054047,34.385844,-119.51232
"Lauricocha (Antacolpa, Highlands)",1,"10,000-5,000 BP",4,6,0.20264889299869537,-10.3222,-76.666667
Henriksholm-Bøgebakken (Vedbæk) (Zealand region),1,"10,000-5,000 BP",5,5,0.20315301418304443,55.852999999999994,12.559
"Lapa do Santo (Central Minas Gerais, Matozinhos)",1,"10,000-5,000 BP",7,21,0.2086580991744995,-19.477183,-44.03805599999999
"Arroyo Seco II (Buenos Aires Province, Tres Arroyos Partido)",1,"10,000-5,000 BP",8,9,0.2091200351715088,-38.360556,-60.244167
"Devil's-Gate-Cave (Primorsky Krai, Dalnegorsk municipality, Dalnegorsk Village)",1,"10,000-5,000 BP",6,15,0.21065454185009003,44.550000000000004,135.583333
"Gross Fredenwalde (Brandenburg, Brandenburg, Uckermark)",1,"10,000-5,000 BP",8,27,0.2111538201570511,53.1290375,13.795975
"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",1,"10,000-5,000 BP",8,18,0.21222174167633057,16.497398,-88.90496
"Kanaljorden (Östergötlands län, Motala)",1,"10,000-5,000 BP",7,20,0.21952533721923828,58.53499999999998,15.045999999999996
"Marzyn-Khutul (Bulgan Province, Khutag-Öndor District, Egiin-gol River)",1,"10,000-5,000 BP",4,6,0.2241208553314209,49.274012,102.716761
"Schela-Cladovei (Mehedinți County, Drobeta-Turnu Severin)",1,"10,000-5,000 BP",8,25,0.22444979846477509,44.626111,22.605833
"Boismana-2 (Primorsky Krai, Khasansky District)",1,"10,000-5,000 BP",18,101,0.22534416615962982,42.7894444,131.27611100000001
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",1,"10,000-5,000 BP",12,45,0.22770580649375916,45.93,126.04
"Vovnihy-1 (Zaporizhia Oblast, Zaporizhia District, Petro-Mykhailivka municipality)",1,"10,000-5,000 BP",9,15,0.22798685729503632,48.123,35.098
Heraklion (Crete),1,"10,000-5,000 BP",6,6,0.22827473282814026,35.2394569,24.988304800000005
"Karavaikha (Vologda Oblast, Kirillovsky District, Karavaikha Village)",1,"10,000-5,000 BP",10,44,0.2286110818386078,60.465568000000005,38.8483032
"Sakhtysh-2 (Ivanovo Oblast, Teykovsky District, Sakhtysh Village)",1,"10,000-5,000 BP",4,6,0.2291780263185501,56.7825,40.4479
"Ostrovul-Corbului (Mehedinți County, Hinova)",1,"10,000-5,000 BP",5,10,0.22943750023841858,44.517,22.722
"Vovnihy-2 (Dnipropetrovsk Oblast, Dnipro District, Solone municipality)",1,"10,000-5,000 BP",11,44,0.23008117079734802,48.132999999999996,35.082
"Vlasac (Bor District, Majdanpek Municipality, Boljetin)",1,"10,000-5,000 BP",18,148,0.23013538122177124,44.533055,22.04991
"Sakhtysh-2a (Ivanovo Oblast, Teykovsky District, Sakhtysh Village)",1,"10,000-5,000 BP",13,58,0.23018845915794373,56.784,40.448660000000004
"Padina (Bor District, Majdanpek Municipality, Boljetin)",1,"10,000-5,000 BP",6,15,0.2317175716161728,44.595879,22.010568000000003
"Hajdučka-Vodenica (Bor District, Kladovo Municipality, Hajdučka)",1,"10,000-5,000 BP",6,15,0.2317250370979309,44.640260000000005,22.30333
