locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)",VanDeLoosdrechtKrauseScience2018,0,">10,000 BP",7,20,0.192598,34.81418,-2.404123,africa,5006.5
"Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)",Moreno-MayarWillerslevScience2018,0,">10,000 BP",4,6,0.193836,-19.54,-43.94,americas,26219.1
"Dolní Věstonice-2 (South Moravian Region, Břeclav District)",FuReichNature2016; PosthKrauseNature2023,0,">10,000 BP",5,9,0.21283,48.877779,16.652222,europe,4947.2
"Vasylivka-Dnieperpetrovsk-1 (Dnieperpetrovsk Oblast, Synelnykove District, Rajivka Municipality)",AllentoftWillerslevNature2024; PosthKrauseNature2023,0,">10,000 BP",9,7,0.221042,48.220639,35.4035,europe,4691.7
"Padina (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026,0,">10,000 BP",7,21,0.227133,44.61000000000001,22.0,europe,4331.4
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",MaoFuCell2021,0,">10,000 BP",9,21,0.228328,45.96,125.78,asia,10450.4
"Minino 1 (Vologda Oblast, Vologda District, Minino Village)",AllentoftWillerslevNature2024; PosthKrauseNature2023,0,">10,000 BP",4,6,0.23021,59.42,39.3,asia,5776.7
Raqefet Cave (Haifa District),LazaridisReichNature2016; LazaridisReichNature2025; LazaridisReichScience2022,0,">10,000 BP",6,5,0.233238,32.65,35.067,asia,2931.7
"Sunghir (Vladimir Oblast, Vlaidmir Municipality)",SikoraWillerslevScience2017,0,">10,000 BP",4,6,0.234568,56.1761111,40.5025,asia,5450.7
"Boncuklu (Konya, Karatay)",AltınışıkSomelSciAdv2022; FeldmanKrauseNatComm2019; KılınçGötherströmCurrBiol2016,0,">10,000 BP",10,6,0.242578,38.2153,39.75260000000001,asia,3662.8
"Ranis (Thuringia, Saale-Orla-Kreis)",SümerKrauseNature2024,0,">10,000 BP",9,11,0.249972,50.663889,11.568056,europe,5358.1
"Goyet Cave (Wallonia Region, Namur Province, Gesves Municipality, Troisième caverne)",FuReichNature2016; PosthKrauseNature2023; Villalba-MoucoHaakCurrBiol2019,0,">10,000 BP",10,26,0.256276,50.446000000000005,5.008000000000001,europe,5757.0
"Bacho-Kiro Cave (Lovech Province, Ugarchin Municipality)",HajdinjakPääboNature2021,0,">10,000 BP",6,6,0.259532,42.948,24.4302,europe,4064.7
San Nicolas Island (California),ScheibKivisildScience2018,1,"10,000-5,000 BP",4,5,0.169882,33.245211,-119.499561,americas,17168.0
"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",NakatsukaReichNature2023,1,"10,000-5,000 BP",7,13,0.188509,34.004782,-120.18487100000002,americas,17069.1
"Odake Shell Midden (Honshu, Toyama, Kureha Hills)",CookeNakagomeSciAdv2021,1,"10,000-5,000 BP",4,6,0.191639,36.72122,137.16677,asia,11778.9
"Checua (Cundinamarca, Nemocón)",KrettekPosthSciAdv2025,1,"10,000-5,000 BP",7,21,0.193598,5.120639,-73.877222,americas,22112.4
"Hoedic (Bretagne, Morbihan)",SimõesJakobssonPNAS2024,1,"10,000-5,000 BP",5,10,0.200262,47.339,-2.879,europe,6241.6
"CA-SBA-7 (California, Carpinteria, Mishopshnow)",NakatsukaReichNature2023,1,"10,000-5,000 BP",6,15,0.20067,34.387112,-119.512319,americas,17046.2
"Lauricocha (Huánuco Region, Lauricocha Province, Antacolpa)",PosthReichCell2018,1,"10,000-5,000 BP",4,6,0.202649,-10.3222,-76.666667,americas,23438.8
"Henriksholm-Bøgebakken (Zealand Region, Vedbæk)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",5,5,0.203153,55.852999999999994,12.559,europe,5695.2
"Lapa do Santo (Central Minas Gerais, Matozinhos)",PosthReichCell2018,1,"10,000-5,000 BP",7,21,0.208658,-19.477183,-44.03805599999999,americas,26207.3
"Arroyo Seco II (Buenos Aires Province, Ptdo. Tres Arroyos)",PosthReichCell2018,1,"10,000-5,000 BP",8,9,0.20912,-38.3605556,-60.2441667,americas,26951.8
