locality,publications,bin_idx,bin_label,n_samples,n_pairs,median_pmr,lat,lon,region,migratory_distance_km
"Taforalt Cave (Oriental, Cercle d'Aklim, Tafoughalt, Lotissement Riyad Al Istiyaf)",VanDeLoosdrechtKrauseScience2018,0,">10,000 BP",7,20,0.192597895860672,34.81418,-2.404123,africa,5006.500405832438
"Caverna do Sumidouro (Central Minas Gerais, Lagoa Santa)",Moreno-MayarWillerslevScience2018,0,">10,000 BP",4,6,0.19383583962917328,-19.54,-43.94,americas,26219.105048408026
"Dolní Věstonice-2 (South Moravian Region, Břeclav District)",FuReichNature2016; PosthKrauseNature2023,0,">10,000 BP",5,9,0.2128296196460724,48.877779,16.652222,europe,4947.155869733424
"Vasylivka-Dnieperpetrovsk-1 (Dnieperpetrovsk Oblast, Synelnykove District, Rajivka Municipality)",AllentoftWillerslevNature2024; PosthKrauseNature2023,0,">10,000 BP",9,7,0.22104214131832123,48.220639,35.4035,europe,4691.66142040494
"Padina (Bor District, Majdanpek Municipality, Boljetin)",AkbariReichNature2026,0,">10,000 BP",7,21,0.22713331878185272,44.61000000000001,22.0,europe,4331.365481488389
"Zhaodong on the northern bank of the Songhua River (Amur River Basin, southwest Heilongjiang Province, Songnen Plain)",MaoFuCell2021,0,">10,000 BP",9,21,0.22832848131656647,45.96,125.78,asia,10450.35234159848
"Minino 1 (Vologda Oblast, Vologda District, Minino Village)",AllentoftWillerslevNature2024; PosthKrauseNature2023,0,">10,000 BP",4,6,0.2302095592021942,59.42,39.3,asia,5776.661035102696
Raqefet Cave (Haifa District),LazaridisReichNature2016; LazaridisReichNature2025; LazaridisReichScience2022,0,">10,000 BP",6,5,0.23323847353458405,32.65,35.067,asia,2931.7263026158917
"Sunghir (Vladimir Oblast, Vlaidmir Municipality)",SikoraWillerslevScience2017,0,">10,000 BP",4,6,0.23456844687461853,56.1761111,40.5025,asia,5450.713923712654
"Boncuklu (Konya, Karatay)",AltınışıkSomelSciAdv2022; FeldmanKrauseNatComm2019; KılınçGötherströmCurrBiol2016,0,">10,000 BP",10,6,0.2425779551267624,38.2153,39.75260000000001,asia,3662.8217398512033
"Ranis (Thuringia, Saale-Orla-Kreis)",SümerKrauseNature2024,0,">10,000 BP",9,11,0.24997222423553467,50.663889,11.568056,europe,5358.0610445519105
"Goyet Cave (Wallonia Region, Namur Province, Gesves Municipality, Troisième caverne)",FuReichNature2016; PosthKrauseNature2023; Villalba-MoucoHaakCurrBiol2019,0,">10,000 BP",10,26,0.25627589225769043,50.446000000000005,5.008000000000001,europe,5756.998943071059
"Bacho-Kiro Cave (Lovech Province, Ugarchin Municipality)",HajdinjakPääboNature2021,0,">10,000 BP",6,6,0.2595324218273163,42.948,24.4302,europe,4064.652746861675
San Nicolas Island (California),ScheibKivisildScience2018,1,"10,000-5,000 BP",4,5,0.16988155245780945,33.245211,-119.499561,americas,17168.005471969038
"CA-SRI-3 (California, Santa Rosa Island, Tecolote Point)",NakatsukaReichNature2023,1,"10,000-5,000 BP",7,13,0.188509002327919,34.004782,-120.18487100000002,americas,17069.096892836424
"Odake Shell Midden (Honshu, Toyama, Kureha Hills)",CookeNakagomeSciAdv2021,1,"10,000-5,000 BP",4,6,0.19163861870765686,36.72122,137.16677,asia,11778.93782069242
"Checua (Cundinamarca, Nemocón)",KrettekPosthSciAdv2025,1,"10,000-5,000 BP",7,21,0.19359809160232544,5.120639,-73.877222,americas,22112.362471409546
"Hoedic (Bretagne, Morbihan)",SimõesJakobssonPNAS2024,1,"10,000-5,000 BP",5,10,0.200261652469635,47.339,-2.879,europe,6241.6288843097045
"CA-SBA-7 (California, Carpinteria, Mishopshnow)",NakatsukaReichNature2023,1,"10,000-5,000 BP",6,15,0.20066986978054047,34.387112,-119.512319,americas,17046.22877718493
"Lauricocha (Huánuco Region, Lauricocha Province, Antacolpa)",PosthReichCell2018,1,"10,000-5,000 BP",4,6,0.20264889299869537,-10.3222,-76.666667,americas,23438.81437471405
"Henriksholm-Bøgebakken (Zealand Region, Vedbæk)",AllentoftWillerslevNature2024,1,"10,000-5,000 BP",5,5,0.20315301418304443,55.852999999999994,12.559,europe,5695.212500311654
"Lapa do Santo (Central Minas Gerais, Matozinhos)",PosthReichCell2018,1,"10,000-5,000 BP",7,21,0.2086580991744995,-19.477183,-44.03805599999999,americas,26207.336834179056
"Arroyo Seco II (Buenos Aires Province, Ptdo. Tres Arroyos)",PosthReichCell2018,1,"10,000-5,000 BP",8,9,0.2091200351715088,-38.3605556,-60.2441667,americas,26951.848443624982
"Oakhurst Rockshelter (Western Cape, Garden Route District Municipality, George Local Municipality)",GretzingerSchiffelsNatEcolEvol2024,1,"10,000-5,000 BP",7,9,0.20917731523513794,-33.9667,22.583300000000005,africa,5047.1635467651195
"Devil's-Gate-Cave (Primorsky Krai, Dalnegorsk Municipality, Dalnegorsk Village)",SikoraWillerslevNature2019; SiskaManicaSciAdv2017,1,"10,000-5,000 BP",6,15,0.21065454185009003,44.550000000000004,135.583333,asia,11200.723254867105
"Gross Fredenwalde (Brandenburg, Brandenburg, Uckermark)",PosthKrauseNature2023,1,"10,000-5,000 BP",7,20,0.21197810769081116,53.128899999999994,13.7954,europe,5417.347817105587
"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",KennettReichNatComm2022; PosthReichCell2018,1,"10,000-5,000 BP",8,18,0.21222174167633057,16.490597,-88.911694,americas,20178.68866132009
"Kanaljorden (Östergötlands län, Motala)",LazaridisKrauseNature2014; MathiesonReichNature2015; MittnikKrauseNatComm2018,1,"10,000-5,000 BP",7,20,0.21952533721923828,58.53499999999998,15.045999999999996,europe,5850.355133807998
"Unakozovskaya (Adygea Republic of, Maykopsky District)",LazaridisReichNature2025; WangHaakNatComm2019,1,"10,000-5,000 BP",4,6,0.21956510841846466,44.25056667,40.21921667,asia,4226.12816238683
"Sitaimengguying (Hebei Province, Zhangjiakou City, Shangyi County, south of Sitaimengguying Village)",ZhangCuiSciBull2025,1,"10,000-5,000 BP",12,45,0.2222324162721634,41.29417,114.22972,asia,9785.280363153315
"Marzyn-Khutul (Bulgan Province, Khutag-Öndor District, Egiin-gol River)",WangReichNature2021,1,"10,000-5,000 BP",4,6,0.2241208553314209,49.274012,102.716761,asia,8696.003251279488
"Schela-Cladovei (Mehedinți County, Drobeta-Turnu Severin)",AkbariReichNature2026; AllentoftWillerslevNature2024; González-FortesHofreiterCurrBiol2017; MathiesonReichNature2018,1,"10,000-5,000 BP",8,25,0.2241543084383011,44.626111,22.605833,europe,4295.195149306433
