master_id1,master_id2,genetic_id1,genetic_id2,site_overlap,site_mismatches,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,annotation,notes
EHU001,VAD001,EHU001.AG,VAD001.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,UE 750,E45,"2564-2299 calBCE (3933±32 BP, CSIC-1896)","1872-1547 calBCE (3400±35 BP, Ua-36345)",Spain_C_oSteppe.AG,Spain_EBA.AG,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
EHU001,VAD002,EHU001.AG,VAD002.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,UE 750,E47,"2564-2299 calBCE (3933±32 BP, CSIC-1896)",1900-1500 BCE,Spain_C_oSteppe.AG,Spain_EBA.AG,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
EHU001,VAD003,EHU001.AG,VAD003.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,UE 750,E69,"2564-2299 calBCE (3933±32 BP, CSIC-1896)",1900-1500 BCE,Spain_C_oSteppe.AG,Spain_EBA.AG,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
EHU001,VAD004,EHU001.AG,VAD004.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,UE 750,E74,"2564-2299 calBCE (3933±32 BP, CSIC-1896)",1900-1500 BCE,Spain_C_oSteppe.AG,Spain_EBA.AG,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
EHU001,VAD005,EHU001.AG,VAD005.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,UE 750,E77,"2564-2299 calBCE (3933±32 BP, CSIC-1896)","1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_C_oSteppe.AG,Spain_EBA_oSteppe.AG,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD001,VAD002,VAD001.AG,VAD002.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E45,E47,"1872-1547 calBCE (3400±35 BP, Ua-36345)",1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD001,VAD003,VAD001.AG,VAD003.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E45,E69,"1872-1547 calBCE (3400±35 BP, Ua-36345)",1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD001,VAD004,VAD001.AG,VAD004.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E45,E74,"1872-1547 calBCE (3400±35 BP, Ua-36345)",1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD001,VAD005,VAD001.AG,VAD005.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E45,E77,"1872-1547 calBCE (3400±35 BP, Ua-36345)","1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA.AG,Spain_EBA_oSteppe.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD002,VAD003,VAD002.AG,VAD003.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E47,E69,1900-1500 BCE,1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD002,VAD004,VAD002.AG,VAD004.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E47,E74,1900-1500 BCE,1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD002,VAD005,VAD002.AG,VAD005.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E47,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA.AG,Spain_EBA_oSteppe.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD003,VAD004,VAD003.AG,VAD004.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E69,E74,1900-1500 BCE,1900-1500 BCE,Spain_EBA.AG,Spain_EBA.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD003,VAD005,VAD003.AG,VAD005.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E69,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA.AG,Spain_EBA_oSteppe.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
VAD004,VAD005,VAD004.AG,VAD005.AG,558300,0.0,0.0,0.0,7e-06,OlaldeScience2019,OlaldeScience2019,E74,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA.AG,Spain_EBA_oSteppe.AG,"Valdescusa (La Rioja, Hervías)","Valdescusa (La Rioja, Hervías)",Spain,Spain,identical_sample;same_pub;unidentified_in_pub,
JBT001,JBT002,JBT001.AG,JBT002.AG,337613,0.0,0.0,0.0,1.1e-05,FerrazNatEcoEvo2023,FerrazNatEcoEvo2023,JBT001,JBT002,"720-233 calBCE (2401±21, MAMS-38997 )","721-386 calBCE (2411±20, MAMS-38998 )",Brazil_JabuticabeiraII_Sambaqui_2400BP.AG,Brazil_JabuticabeiraII_Sambaqui_2400BP_dup.JBT001.AG,Jabuticabeira II (South Coast),Jabuticabeira II (South Coast),Brazil,Brazil,identical_sample;same_pub;unidentified_in_pub;identified_in_aadr_group_id,
MJ-15-32,MJ-15,MJ-15-32_merge.SG,MJ-15_MJ-32_merge.SG,339770,0.0,0.0,0.0,1.1e-05,JarveCurrentBiology2019,JarveCurrentBiology2019,"115 (Staryi-Merchik-2, kurgan 2, burial 1)","115 (Staryi-Merchik-2, kurgan 2, burial 1)","393-206 calBCE (2255±30 BP, Poz-)","393-206 calBCE (2255±30 BP, Poz-)",Ukraine_IA_Scythian.SG,Ukraine_IA_Scythian.SG,"Staryi-Merchik-2 (Kharkiv Oblast, Bohodukhiv District, Valkiv municipality)","Staryi-Merchik-2 (Kharkiv Oblast, Bohodukhiv District, Valkiv municipality)",Ukraine,Ukraine,identical_sample;same_pub;apparent_typo,
GFW002,GFW002.003,GFW002_GFW003_merge.AG,GFW002.003.AG,944156,35.0,3.7e-05,2.6e-05,5.2e-05,PosthYuNature2023,PosthYuNature2023,GF-1962-Individual 4,GF-1962-Individual 4,"6022-5832 calBCE (7051±45 BP, AAR-18024)","6022-5832 calBCE (7051±45 BP, AAR-18024)",Germany_Mesolithic.AG,Germany_Mesolithic.AG,"Gross Fredenwalde (Brandenburg, Brandenburg, Uckermark)","Gross Fredenwalde (Brandenburg, Brandenburg, Uckermark)",Germany,Germany,same_pub;apparent_typo,
Ofnet,BerryAuBac,Ofnet.AG,BerryAuBac.AG,45132,138.0,0.003058,0.002569,0.003612,FuNature2016,FuNature2016,Ofnet,BerryAuBac,"6472-6091 calBCE (7480±80 BP, OxA-1574)","5368-5216 calBCE (6325±35 BP, SacA-5455)",Germany_Mesolithic_contam.AG,France_Mesolithic.AG,"Ofnet (Bayern, Schwaben, Günzburg)","Berry-Au-Bac (Hauts-de-France Region, Aisne Department, Château-Thierry arrondissement)",Germany,France,same_pub;diff_site;unidentified_in_pub,
I0963,Popovo2,I0963.AG,Popovo2.AG,69308,230.0,0.003319,0.002904,0.003775,MittnikNatureCommunications2018,MittnikNatureCommunications2018,Popovo2 (Po 2),Popovo2,6000-4000 BCE,7500-5000 BCE,Russia_HG.AG,Russia_Popovo_Mesolithic.AG,"Popovo (Russia) (Arkhangelsk Oblast, Kargopolsky District)","Popovo (Russia) (Arkhangelsk Oblast, Kargopolsky District)",Russia,Russia,same_pub;unidentified_in_pub;potential_aadr_skeletal_code_match,
SF11,StoraForvar11,SF11.SG,StoraForvar11.SG,88965,558.0,0.006272,0.005764,0.006813,GuntherPLoSBiology2018,SkoglundScience2014,SF11,StoraForvar11,7073-6810 calBCE,"5557-5230 calBCE (6459±70 BP, Ua-45742)",Sweden_Mesolithic_o.SG,Sweden_Mesolithic.SG,Stora Förvar,"Stora-Karlsö (Gotlands län, Gotland)",Sweden,Sweden,diff_pub;apparent_typo,
I2657,I2658,I2657.AG,I2658.AG,103209,1391.0,0.013478,0.012783,0.0142,OlaldeNature2018,PattersonNature2021,GENSCOT26,GENSCOT27,"3955-3773 calBCE (5052±30 BP, SUERC-68701)",4000-3700 BCE,Scotland_N.AG,Scotland_N_1d.rel.or_dup.I2657.AG,"Macarthur Cave (Scotland, Argyll and Bute, Oban)","Macarthur Cave (Scotland, Argyll and Bute, Oban)",United Kingdom,United Kingdom,diff_pub;identified_in_pub_as_1st_deg;identified_in_aadr_group_id,
ros3,ROS003,ros3.SG,ROS003.SG,360264,5441.0,0.015103,0.014707,0.015506,MalmstromProcBiolSci2019,SeersholmSikoraNature2024,ros3,ros003b1,"3331-2930 calBCE (4440±30 BP, Beta-423311)",3331-2930 calBCE (4440±30 BP; Beta-423311),Sweden_FBC.SG,Sweden_Rossberga_N.SG,Rossberga,Rössberga,Sweden,Sweden,diff_pub;apparent_typo,
NEO259,FRA042,NEO259.SG,FRA042.SG,62776,1151.0,0.018335,0.0173,0.019415,AllentoftNature2024,SeersholmSikoraNature2024,"CGG_2_018091 (156/F6063, 3F120033/3644, Tid 318|ID120033, bone ID3644, Tooth ID 318, Frälsegården, passage grave)","CGG018091, gok023b1, CGG100055","3095-2924 calBCE (4404±21 BP, OxA-39288)","3081-2919 calBCE [R_Combine: (4365±20 BP; UCIAMS-259741), (4404±21 BP; OxA-39288)]",Sweden_MN_TRB_N.SG,Sweden_Fralsegarden_N.SG,"Frälsegården (Västra Götalands län, Falköping)",Frälsegården,Sweden,Sweden,diff_pub;unidentified_in_pub,
ros3,ROS003,ros3.SG,ROS003_d.SG,65924,1486.0,0.022541,0.021421,0.023703,MalmstromProcBiolSci2019,SeersholmSikoraNature2024,ros3,ros003b1,"3331-2930 calBCE (4440±30 BP, Beta-423311)",3331-2930 calBCE (4440±30 BP; Beta-423311),Sweden_FBC.SG,Sweden_Rossberga_N.SG,Rossberga,Rössberga,Sweden,Sweden,diff_pub;apparent_typo,
UC8_8168,UC8-8168,UC8_8168.SG,UC8-8168.SG,692381,17187.0,0.024823,0.024458,0.025192,BongersPNAS2020,BongersPNAS2020,UC8_8168,UC8-8168,"1445-1613 calCE (450±20 BP, UCIAMS-226333)",1400-1500 CE,Peru_Chincha_LH.SG,Peru_Chincha_LH.SG,Chincha,SouthCoast,Peru,Peru,chincha;same_pub;apparent_typo,
ros005_renamed,ROS005,ros005_renamed.SG,ROS005.SG,577283,14732.0,0.02552,0.025114,0.02593,MalmstromProcBiolSci2019,SeersholmSikoraNature2024,ros005,ros005b1,"3096-2913 calBCE (4390±30 BP, Beta-423313)",3096-2913 calBCE (4390±30 BP; Beta-423313),Sweden_FBC.SG,Sweden_Rossberga_N.SG,Rössberga,Rössberga,Sweden,Sweden,diff_pub;apparent_typo,
UC12_24,UC12-24,UC12_24.SG,UC12-24.SG,869414,30811.0,0.035439,0.035051,0.03583,BongersPNAS2020,BongersPNAS2020,UC12_24,UC12-24,"1425-1459 calCE (495±20 BP, UCIAMS-226337)",1400-1500 CE,Peru_Chincha_LH.SG,Peru_Chincha_LH.SG,Chincha,SouthCoast,Peru,Peru,chincha;same_pub;apparent_typo,
UC12_12,UC12-12,UC12_12.SG,UC12-12.SG,864916,30912.0,0.03574,0.03535,0.036133,BongersPNAS2020,BongersPNAS2020,UC12_12,UC12-12,"1325-1430 calCE (590±20 BP, UCIAMS-226335)",1400-1500 CE,Peru_Chincha_LH.SG,Peru_Chincha_LH.SG,Chincha,SouthCoast,Peru,Peru,chincha;same_pub;apparent_typo,
