individual_id1,individual_id2,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
EHU001,VAD002,EHU001.AG,VAD002.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,UE 750,E47,"2287-2044 cal BCE (3760±30 BP, Beta-492280)",1900-1500 BCE,Spain_C-oSteppe,Spain_EBA,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.419214,-3.484745,42.44,-2.88
EHU001,VAD003,EHU001.AG,VAD003.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,UE 750,E69,"2287-2044 cal BCE (3760±30 BP, Beta-492280)",1900-1500 BCE,Spain_C-oSteppe,Spain_EBA,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.419214,-3.484745,42.44,-2.88
EHU001,VAD004,EHU001.AG,VAD004.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,UE 750,E74,"2287-2044 cal BCE (3760±30 BP, Beta-492280)",1900-1500 BCE,Spain_C-oSteppe,Spain_EBA,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.419214,-3.484745,42.44,-2.88
EHU001,VAD005,EHU001.AG,VAD005.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,UE 750,E77,"2287-2044 cal BCE (3760±30 BP, Beta-492280)","1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_C-oSteppe,Spain_BA-oSteppe,"El Hundido (Castilla y León, Burgos, Monasterio de Rodilla)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.419214,-3.484745,42.44,-2.88
VAD002,VAD003,VAD002.AG,VAD003.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E47,E69,1900-1500 BCE,1900-1500 BCE,Spain_EBA,Spain_EBA,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
VAD002,VAD004,VAD002.AG,VAD004.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E47,E74,1900-1500 BCE,1900-1500 BCE,Spain_EBA,Spain_EBA,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
VAD002,VAD005,VAD002.AG,VAD005.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E47,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA,Spain_BA-oSteppe,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
VAD003,VAD004,VAD003.AG,VAD004.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E69,E74,1900-1500 BCE,1900-1500 BCE,Spain_EBA,Spain_EBA,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
VAD003,VAD005,VAD003.AG,VAD005.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E69,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA,Spain_BA-oSteppe,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
VAD004,VAD005,VAD004.AG,VAD005.AG,538499,0.0,0.0,7e-06,OlaldeReichScience2019,OlaldeReichScience2019,E74,E77,1900-1500 BCE,"1740-1539 calBCE (3360±30 BP, Beta-479535)",Spain_EBA,Spain_BA-oSteppe,"Valdescusa (La Rioja, La Rioja, Hervías)","Valdescusa (La Rioja, La Rioja, Hervías)",Spain,Spain,42.44,-2.88,42.44,-2.88
ST0162,OLV021,ST0162.SG,OLV021.SG,393642,0.0,-0.0,1e-05,BenekerKivisildGenomeBiol2025,SassoKivisildPNAS2024,SK0162,162,"772-974 calCE (1164±24 BP, RICH-29143)",700-1300 CE,Belgium_EarlyMedieval,Belgium_Medieval,Trudoplein (Sint-Truiden),"Sint-Truiden Groenmarkt (Flemish Region, Limburg, of Hasselt Arrondissement)",Belgium,Belgium,50.816667,5.183333,50.815,5.186
ST1054,OLV038,ST1054.SG,OLV038.SG,260152,0.0,0.0,1.5e-05,BenekerKivisildGenomeBiol2025,SassoKivisildPNAS2024,SK1054,1054,1000-1300 CE,700-1300 CE,Belgium_HighMedieval,Belgium_Medieval,"Sint-Truiden Groenmarkt (Flemish Region, Limburg, of Hasselt Arrondissement)","Sint-Truiden Groenmarkt (Flemish Region, Limburg, of Hasselt Arrondissement)",Belgium,Belgium,50.815,5.186,50.815,5.186
