individual_id,genetic_id1,genetic_id2,site_overlap,mismatch_rate,mismatch_rate_95_ci_lower,mismatch_rate_95_ci_upper,publication1,publication2,skeletal_code1,skeletal_code2,date1,date2,group_id1,group_id2,locality1,locality2,political_entity1,political_entity2,lat1,lon1,lat2,lon2
UKR116_Saag,UKR116_Saag.SG,UKR116_Saag_alt.SG,93476,0.258173,0.255378,0.260989,SaagThomasSciAdv2025,SaagThomasSciAdv2025,"kurgan 2, burial 2 (central grave (primary burial) (Karavan, Kharkiv)","kurgan 2, burial 2 (central grave (primary burial) (Karavan, Kharkiv)","775-516 calBCE (2491±28, UBA-48155)","775-516 calBCE (2491±28, UBA-48155)",Ukraine_LIA_Scythian,Ukraine_LIA_Scythian,"Karavan (Forest-steppe, Siversky Donets basin, Kharkiv)","Karavan (Forest-steppe, Siversky Donets basin, Kharkiv)",Ukraine,Ukraine,49.926,35.8806,49.926,35.8806
I3139,I3139_alt.AG,I3139.SG,779418,0.25482,0.253853,0.255788,PattersonReichNature2021,AkbariReichNature2026,ORC_IVa_88.10,ORC_IVa_88.10,3800-3000 BCE,3800-3000 BCE,Scotland_RaschoilleCave_N-olowEEF,Scotland_RaschoilleCave_N,"Raschoille Cave (Scotland, Argyll and Bute, Oban)","Raschoille Cave (Scotland, Argyll and Bute, Oban)",United Kingdom,United Kingdom,56.403333,-5.478056,56.403333,-5.478056
I3139,I3139.AG,I3139_alt.AG,705418,0.253556,0.252542,0.254573,OlaldeReichNature2018,PattersonReichNature2021,ORC_IVa_88.10,ORC_IVa_88.10,3800-3000 BCE,3800-3000 BCE,Scotland_RaschoilleCave_N-olowEEF,Scotland_RaschoilleCave_N-olowEEF,"Raschoille Cave (Scotland, Argyll and Bute, Oban)","Raschoille Cave (Scotland, Argyll and Bute, Oban)",United Kingdom,United Kingdom,56.403333,-5.478056,56.403333,-5.478056
KPT002,KPT002.AG,KPT002_alt.SG,206913,0.243436,0.241591,0.24529,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.AG.SG,KPT002_alt.SG,261375,0.242946,0.241306,0.244594,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.AG.SG,KPT002_alt.AG.SG,634090,0.242343,0.241289,0.243399,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.AG.SG,KPT002_alt.AG,563841,0.241997,0.240881,0.243117,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.AG,KPT002_alt.AG.SG,508699,0.241666,0.240491,0.242844,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.AG,KPT002_alt.AG,462153,0.241431,0.240199,0.242667,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.SG,KPT002_alt.AG,454452,0.240122,0.238882,0.241366,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
KPT002,KPT002.SG,KPT002_alt.SG,212792,0.239967,0.238157,0.241786,YuKrauseCell2020,YuKrauseCell2020,8300 petrous left,"(RIMA_MSU_8300, Khaptsagai, 1927, burial 7)","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]","2191-1770 calBCE [union of two dates: 2191-1965 calBCE (4033±31 BP, corrected for FWRE), 1920-1770 calBCE (3915±19 BP, corrected for FWRE)]",Russia_Irkutsk_EBA,Russia_Irkutsk_EBA,"Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)","Khaptsagai (Irkutsk Oblast, Bayandayevskiy District)",Russia,Russia,53.044528,105.510583,53.044528,105.510583
